model_name,model_type,epistasis_order,num_snps,epochs,test_loss,test_accuracy,initial_train_loss,final_train_loss,initial_train_acc,final_train_acc,initial_val_loss,final_val_loss,initial_val_acc,final_val_acc,training_time_seconds,training_time_minutes,convergence,performance_category,expected_accuracy,status,filepath
model1,Marginal,2,50,20,0.6931543946266174,0.5,0.6949856281280518,0.693230926990509,0.4867857098579407,0.5035714507102966,0.6931965351104736,0.6931543946266174,0.5,0.5,45.10560750961304,0.7517601251602173,Needs More Epochs,Fair,85-95%,SUCCESS,data/processed/model1/order2/snps50/dataset_0.npz
model2,Marginal,2,50,20,0.6931475400924683,0.5,0.6948927044868469,0.6933730840682983,0.4985714256763458,0.48642855882644653,0.6932513117790222,0.6931475400924683,0.5,0.5,45.10249185562134,0.751708197593689,Needs More Epochs,Fair,85-95%,SUCCESS,data/processed/model2/order2/snps50/dataset_0.npz
model3,Marginal,2,50,20,0.6931473016738892,0.5,0.6957007050514221,0.6931719183921814,0.4982142746448517,0.508571445941925,0.6931653022766113,0.6931472420692444,0.5,0.5,42.62687540054321,0.7104479233423869,Needs More Epochs,Fair,85-95%,SUCCESS,data/processed/model3/order2/snps50/dataset_0.npz
model4,Mixed (3-way),3,50,20,0.693153440952301,0.5,0.6947095394134521,0.6932538151741028,0.4935714304447174,0.4985714256763458,0.6932215094566345,0.6931535601615906,0.5,0.5,47.51308608055115,0.7918847680091858,Needs More Epochs,Fair,75-88%,SUCCESS,data/processed/model4/order2/snps50/dataset_0.npz
model5,Pure Epistasis,2,50,20,0.6931976675987244,0.5,0.694965124130249,0.6933563947677612,0.4935714304447174,0.5007143020629883,0.6931698322296143,0.6931976675987244,0.5,0.5,45.67352890968323,0.7612254818280538,Needs More Epochs,Fair,70-85%,SUCCESS,data/processed/model5/order2/snps50/dataset_0.npz
model6,Pure Epistasis,2,50,20,0.6932042241096497,0.5,0.6943792700767517,0.6933674812316895,0.5,0.5078571438789368,0.6932850480079651,0.6932042837142944,0.5,0.5,44.01861786842346,0.733643631140391,Needs More Epochs,Fair,70-85%,SUCCESS,data/processed/model6/order2/snps50/dataset_0.npz
model7,Marginal,2,50,20,0.6931838393211365,0.5,0.6955837607383728,0.69300377368927,0.4942857027053833,0.5121428370475769,0.6932052373886108,0.6931838989257812,0.5,0.5,42.63016486167908,0.7105027476946513,Needs More Epochs,Fair,85-95%,SUCCESS,data/processed/model7/order2/snps50/dataset_0.npz
model8,Marginal,2,50,20,0.6931574940681458,0.5,0.6952930092811584,0.6941787004470825,0.4903571307659149,0.4935714304447174,0.6931678652763367,0.6931574940681458,0.5,0.5,41.17174792289734,0.6861957987149556,Needs More Epochs,Fair,85-95%,SUCCESS,data/processed/model8/order2/snps50/dataset_0.npz
