model_name,model_type,epistasis_order,num_snps,epochs_requested,epochs_trained,test_loss,test_accuracy,initial_train_loss,final_train_loss,initial_train_acc,final_train_acc,initial_val_loss,final_val_loss,initial_val_acc,final_val_acc,training_time_seconds,training_time_minutes,convergence,performance_category,expected_accuracy,status,filepath
model1,Marginal,2,50,100,43,0.603487491607666,0.6200000047683716,0.6951889395713806,0.601030170917511,0.5032142996788025,0.6228571534156799,0.6931942105293274,0.623085618019104,0.5,0.596666693687439,86.53645968437195,1.4422743280728658,Yes,Good,60-70%,SUCCESS,data/processed/model1/order2/snps50/dataset_0.npz
model2,Marginal,2,50,100,58,0.6145367622375488,0.6083333492279053,0.6992321610450745,0.5867394208908081,0.49000000953674316,0.6399999856948853,0.6932194232940674,0.5976225733757019,0.5,0.6266666650772095,117.40093970298767,1.9566823283831278,Yes,Good,60-70%,SUCCESS,data/processed/model2/order2/snps50/dataset_0.npz
model3,Marginal,2,50,100,34,0.23084132373332977,0.92166668176651,0.6982145309448242,0.23462049663066864,0.49642857909202576,0.9153571724891663,0.6931787729263306,0.2770172655582428,0.5,0.8983333110809326,64.39937138557434,1.073322856426239,Yes,Excellent,60-70%,SUCCESS,data/processed/model3/order2/snps50/dataset_0.npz
model4,Mixed (3-way),3,50,100,28,0.2244347631931305,0.9283333420753479,0.6983206868171692,0.25931796431541443,0.4975000023841858,0.9057142734527588,0.6931495070457458,0.29425743222236633,0.5,0.8883333206176758,54.40395927429199,0.9067326545715332,Yes,Excellent,50% (no signal),SUCCESS,data/processed/model4/order2/snps50/dataset_0.npz
model5,Pure Epistasis,2,50,100,38,0.5977292656898499,0.625,0.6952083706855774,0.5981921553611755,0.49392858147621155,0.6303571462631226,0.6931501030921936,0.5950152277946472,0.5083333253860474,0.621666669845581,74.82252883911133,1.247042147318522,Yes,Good,60-70%,SUCCESS,data/processed/model5/order2/snps50/dataset_0.npz
model6,Pure Epistasis,2,50,100,55,0.5851352214813232,0.6366666555404663,0.6987914443016052,0.5780541300773621,0.4821428656578064,0.6474999785423279,0.6931299567222595,0.5881207585334778,0.5,0.6416666507720947,94.05426979064941,1.5675711631774902,Yes,Good,60-70%,SUCCESS,data/processed/model6/order2/snps50/dataset_0.npz
model7,Marginal,2,50,100,48,0.2337510734796524,0.92166668176651,0.6968129873275757,0.21522319316864014,0.5139285922050476,0.9228571653366089,0.693033754825592,0.2064809650182724,0.5,0.9333333373069763,89.03296947479248,1.4838828245798747,Yes,Excellent,60-70%,SUCCESS,data/processed/model7/order2/snps50/dataset_0.npz
model8,Marginal,2,50,100,30,0.23135952651500702,0.92166668176651,0.6970062851905823,0.2514021098613739,0.5024999976158142,0.9125000238418579,0.6935457587242126,0.23056958615779877,0.5,0.9233333468437195,62.51432514190674,1.041905419031779,Yes,Excellent,60-70%,SUCCESS,data/processed/model8/order2/snps50/dataset_0.npz
